,count,unique,top,freq,mean,std,min,25%,50%,75%,max
ID,130.0,,,,65.5,37.67182855485869,1.0,33.25,65.5,97.75,130.0
Age,130.0,,,,65.5,8.57366619002539,42.0,59.25,66.0,71.0,86.0
Sex,130,2,Male,78,,,,,,,
Smoking,128,3,Former,78,,,,,,,
Surgical_resection,130,1,Yes,130,,,,,,,
type_of_surgery,130,3,Lobectomy,79,,,,,,,
pathologic_stage,130,3,I,71,,,,,,,
histology,128,3,Adenocarcinoma,86,,,,,,,
Tumor_size_cm,127.0,,,,3.4354330708661416,1.9765902803459183,0.5,2.05,3.0,4.4,9.5
Hilar_LN_involved,130,2,No,96,,,,,,,
Mediastinal_LN_involved,130,2,No,110,,,,,,,
Pre_op_PFTS,130,1,Yes,130,,,,,,,
FEV1,122.0,,,,2.4913934426229503,0.49328769801658007,1.07,2.16,2.58,2.8575,3.58
FEV_percent_OF_PREDICTED,123.0,,,,82.15853658536585,12.344089491811344,51.8,75.4,80.8,91.25,113.3
DLCO,120.0,,,,18.50583333333333,3.7788285907417505,10.0,16.2,18.55,21.3,28.8
DLCO_percent_of_Predicted,121.0,,,,77.76446280991736,13.444477549686415,42.7,69.9,78.6,87.3,115.4
Post_op_complications,130,2,No,100,,,,,,,
Length_of_Hospital_stay,127.0,,,,6.511811023622047,3.1316767194452897,2.0,4.0,6.0,8.0,21.0
respiratory,128,2,No,105,,,,,,,
cardiac,128,2,No,104,,,,,,,
stroke,130,2,No,123,,,,,,,
CKD,130,2,No,127,,,,,,,
DM,130,2,No,119,,,,,,,
othcomorb,130,2,No,105,,,,,,,
respcomp,130,2,No,118,,,,,,,
cardcomp,130,2,No,124,,,,,,,
deathcomp,130,2,No,128,,,,,,,
infectcomp,130,2,No,124,,,,,,,
anycomp,130,2,No,100,,,,,,,
died,130.0,,,,0.6230769230769231,0.4864901126393891,0.0,0.0,1.0,1.0,1.0
oasmons,130.0,,,,37.30307692307692,27.294690793227772,0.4,15.399999999999999,32.2,53.1,103.9
