Characteristic,Level,Summary
Sex,Female,52 (40.0%)
Sex,Male,52 (40.0%)
Smoking status,Never,25 (19.5%)
Smoking status,Former,25 (19.5%)
Smoking status,Current,25 (19.5%)
Type of surgery,Wedge/segmentectomy,21 (16.2%)
Type of surgery,Lobectomy,21 (16.2%)
Type of surgery,Pneumonectomy,21 (16.2%)
Pathologic stage,I,71 (54.6%)
Pathologic stage,II,71 (54.6%)
Pathologic stage,III,71 (54.6%)
Histology,Adenocarcinoma,86 (67.2%)
Histology,Other,86 (67.2%)
Histology,Squamous cell carcinoma,86 (67.2%)
Respiratory comorbidity,No,105 (82.0%)
Respiratory comorbidity,Yes,105 (82.0%)
Cardiac comorbidity,No,104 (81.2%)
Cardiac comorbidity,Yes,104 (81.2%)
Diabetes,No,119 (91.5%)
Diabetes,Yes,119 (91.5%)
