Model,term,estimate,conf.low,conf.high,HR (95% CI),P value
Univariate: age,age,1.030967619361253,1.0049937584176074,1.0576127695011437,"1.03 (1.00, 1.06)",0.019
Univariate: sex,sexMale,1.8242483114942383,1.1381886184759775,2.9238404320415525,"1.82 (1.14, 2.92)",0.012
Univariate: smoking,smokingFormer,3.237847796762992,1.5333400090804952,6.837138725213166,"3.24 (1.53, 6.84)",0.002
Univariate: smoking,smokingCurrent,3.1258724414010075,1.3443276599271425,7.268375717598379,"3.13 (1.34, 7.27)",0.008
Univariate: type_of_surgery,type_of_surgeryLobectomy,1.0113607878154263,0.5211677986348203,1.962612897055342,"1.01 (0.52, 1.96)",0.973
Univariate: type_of_surgery,type_of_surgeryPneumonectomy,1.649099618290565,0.7992634747151243,3.402544513891854,"1.65 (0.80, 3.40)",0.176
Univariate: pathologic_stage,pathologic_stageII,1.703458627411382,0.9994387351755222,2.903400872083128,"1.70 (1.00, 2.90)",0.050
Univariate: pathologic_stage,pathologic_stageIII,3.639944832821494,2.0889302166566077,6.342575869858215,"3.64 (2.09, 6.34)",<0.001
Univariate: histology,histologyOther,0.8617621459598145,0.43749181151242705,1.6974809051669986,"0.86 (0.44, 1.70)",0.667
Univariate: histology,histologySquamous cell carcinoma,0.8641214868655941,0.4995457830540975,1.4947697876611676,"0.86 (0.50, 1.49)",0.601
Univariate: tumor_size_cm,tumor_size_cm,1.2307848291601207,1.1060838725549436,1.369544691210078,"1.23 (1.11, 1.37)",<0.001
Univariate: hilar_ln_involved,hilar_ln_involvedYes,1.5647801249678759,0.9696507799051125,2.525173897899705,"1.56 (0.97, 2.53)",0.067
Univariate: mediastinal_ln_involved,mediastinal_ln_involvedYes,1.574713469792976,0.8826651965979612,2.8093579779796225,"1.57 (0.88, 2.81)",0.124
Univariate: respiratory,respiratoryYes,2.2517170801805824,1.3389201939360558,3.7868050927455887,"2.25 (1.34, 3.79)",0.002
Univariate: cardiac,cardiacYes,1.2631934848724997,0.7150452566278079,2.231547955089638,"1.26 (0.72, 2.23)",0.421
Univariate: stroke,strokeYes,1.3068633929284397,0.5278567118694277,3.235521855406288,"1.31 (0.53, 3.24)",0.563
Univariate: ckd,ckdYes,0.7759860133322246,0.1902863901417005,3.1644632726430593,"0.78 (0.19, 3.16)",0.724
Univariate: dm,dmYes,0.7059521016488564,0.28514719381126075,1.7477582828758536,"0.71 (0.29, 1.75)",0.452
Univariate: othcomorb,othcomorbYes,0.7424789965983631,0.4083760078570164,1.349920293512269,"0.74 (0.41, 1.35)",0.329
Univariate: fev1_per_0_5l,fev1_per_0_5l,0.9090058608197796,0.7196792042792384,1.1481388514376247,"0.91 (0.72, 1.15)",0.423
Univariate: fev_pct_per_10,fev_pct_per_10,0.8583684346533937,0.7192864383980319,1.024343474694564,"0.86 (0.72, 1.02)",0.090
Univariate: dlco_per_5,dlco_per_5,0.7608443450331271,0.5602694799527367,1.0332244358870337,"0.76 (0.56, 1.03)",0.080
Univariate: dlco_pct_per_10,dlco_pct_per_10,0.7215823715810311,0.6091168802712675,0.8548131497269001,"0.72 (0.61, 0.85)",<0.001
