PFT,Modifier,N,LRT,df,P_value,P value
DLCO,pathologic_stage,115,5.889,2,0.052639598985952975,0.053
FEV1 percent predicted,respiratory,116,3.723,1,0.053662043713765366,0.054
FEV1,age,118,3.425,1,0.06419721807305834,0.064
FEV1 percent predicted,age,118,2.986,1,0.0839792983195402,0.084
FEV1 percent predicted,smoking,118,4.936,2,0.08477205248018574,0.085
DLCO,sex,115,2.742,1,0.09775661955518831,0.098
DLCO percent predicted,sex,117,2.299,1,0.12942790657321723,0.129
DLCO,age,115,1.581,1,0.208586331274417,0.209
DLCO percent predicted,age,117,1.313,1,0.2517761302365769,0.252
DLCO percent predicted,smoking,117,2.184,2,0.33552483792890053,0.336
DLCO percent predicted,pathologic_stage,117,1.815,2,0.40343184584529296,0.403
FEV1 percent predicted,pathologic_stage,118,1.669,2,0.43406728974254666,0.434
DLCO,smoking,115,1.376,2,0.502601839145854,0.503
FEV1,respiratory,116,0.4,1,0.5268893524102096,0.527
DLCO percent predicted,respiratory,115,0.397,1,0.5286795409228797,0.529
DLCO,respiratory,113,0.14,1,0.7082840766210861,0.708
FEV1,smoking,118,0.677,2,0.7128309502511235,0.713
FEV1,sex,118,0.104,1,0.7470662652708306,0.747
FEV1 percent predicted,sex,118,0.014,1,0.9044529634337128,0.904
FEV1,pathologic_stage,118,0.15,2,0.9276071962603738,0.928
