Variable,Label
CaseID,Case Identification Number
bmi,BMI
ageyrs,"Age, years"
race_eth,Race/ethnicity
SEX,Gender
CPT,"Procedure type, 43770 = Gastric Banding, 43644 = Gastric Bypass"
SMOKE,Current smoker within one year
ASACLAS,ASA classification
OPTIME,"Total operation time, -99 = missing"
Mortality,Mortality
TOTHLOS,"Length of total hospital stay, days, -99 = missing"
REOPERATION,Reoperation
OUPNEUMO,OUPNEUMO
REINTUB,REINTUB
PULEMBOL,PULEMBOL
FAILWEAN,FAILWEAN
OPRENAFL,OPRENAFL
RENAINSF,RENAINSF
URNINFEC,URNINFEC
CDARREST,CDARREST
CDMI,CDMI
OTHBLEED,OTHBLEED
OTHDVT,OTHDVT
NEURODEF,NEURODEF
CNSCOMA,CNSCOMA
CNSCVA,CNSCVA
OTHGRAFL,OTHGRAFL
OTHSYSEP,OTHSYSEP
OTHSESHOCK,OTHSESHOCK
SUPINFEC,SUPINFEC
WNDINFD,WNDINFD
ORGSPCSSI,ORGSPCSSI
DEHIS,DEHIS
