Complication,Gastric Banding,Gastric Bypass,P value
Pneumonia,30 (3.4%),67 (4.4%),0.199
Unplanned intubation,9 (1%),32 (2.1%),0.043
Pulmonary embolism,8 (0.9%),15 (1%),0.817
Ventilator > 48 hours,10 (1.1%),17 (1.1%),0.996
Acute renal failure,2 (0.2%),13 (0.9%),0.056
Progressive renal insufficiency,4 (0.4%),8 (0.5%),>0.999
Urinary tract infection,20 (2.3%),63 (4.2%),0.013
Cardiac arrest requiring CPR,3 (0.3%),6 (0.4%),>0.999
Myocardial infarction,4 (0.4%),25 (1.7%),0.009
Bleeding transfusions,40 (4.5%),128 (8.5%),<0.001
DVT/thrombophlebitis,10 (1.1%),37 (2.5%),0.023
Neurologic deficit,2 (0.2%),4 (0.3%),>0.999
Coma > 24 hours,3 (0.3%),3 (0.2%),0.676
Stroke/CVA,1 (0.1%),5 (0.3%),0.422
Graft/prosthesis/flap failure,2 (0.2%),6 (0.4%),0.718
Sepsis,15 (1.7%),37 (2.5%),0.214
Septic shock,2 (0.2%),8 (0.5%),0.340
Superficial surgical site infection,33 (3.7%),110 (7.3%),<0.001
Deep incisional SSI,13 (1.5%),24 (1.6%),0.819
Organ space SSI,10 (1.1%),26 (1.7%),0.242
Wound disruption,2 (0.2%),19 (1.3%),0.009
