model,term,estimate,conf.low,conf.high,Estimate_95_CI,p.value,p_value
"Any complication, logistic OR",(Intercept),0.29737609329505227,0.2537622193363309,0.34694902445760323,"0.297 (0.254, 0.347)",3.155869307842953e-52,<0.001
"Any complication, logistic OR",procedureGastric Bypass,2.108962981740328,1.7506699166409334,2.5477605017029883,"2.109 (1.751, 2.548)",6.263343929869169e-15,<0.001
"Number of complications, Poisson IRR",(Intercept),0.2505618065498243,0.2190977064444037,0.28490082430234015,"0.251 (0.219, 0.285)",6.318333350818693e-95,<0.001
"Number of complications, Poisson IRR",procedureGastric Bypass,1.7259227878779835,1.485216498096293,2.0132542775927837,"1.726 (1.485, 2.013)",1.9600473993916773e-12,<0.001
"Mortality, logistic OR",(Intercept),0.0033860045171270996,8.409097557854028e-4,0.008800795077941086,"0.003 (0.001, 0.009)",7.906679698593905e-23,<0.001
"Mortality, logistic OR",procedureGastric Bypass,2.9711602929498704,0.9771812114978129,12.85360341591926,"2.971 (0.977, 12.854)",0.0858052483265519,0.086
"Reoperation, logistic OR",(Intercept),0.02430555556917489,0.015267474054558985,0.036447345396814934,"0.024 (0.015, 0.036)",1.4554071474742431e-63,<0.001
"Reoperation, logistic OR",procedureGastric Bypass,1.8260352674531701,1.1269045617221387,3.079846588211491,"1.826 (1.127, 3.08)",0.018268963555351698,0.018
"Length of stay, log-linear ratio",(Intercept),1.8464462699830597,1.7716688476765008,1.9243798480769414,"1.846 (1.772, 1.924)",2.4969425885332203e-159,<0.001
"Length of stay, log-linear ratio",procedureGastric Bypass,1.3839325507168365,1.3136247827357352,1.4580033279707907,"1.384 (1.314, 1.458)",2.3801508107122036e-33,<0.001
