model,term,estimate,conf.low,conf.high,Estimate_95_CI,p.value,p_value
Multivariable logistic model,(Intercept),0.06579372006334994,0.015752571966360776,0.2679639894125656,"0.066 (0.016, 0.268)",1.6457009959194662e-4,<0.001
Multivariable logistic model,procedureGastric Bypass,2.616143814129889,0.4846695290956561,14.331729274606623,"2.616 (0.485, 14.332)",0.26538137758577024,0.265
Multivariable logistic model,age_years,1.0112930018823993,0.9951961237986334,1.0277649656469297,"1.011 (0.995, 1.028)",0.17113814700464092,0.171
Multivariable logistic model,bmi,1.0241871019928688,0.9979051537978997,1.051311099202918,"1.024 (0.998, 1.051)",0.07203666444970581,0.072
Multivariable logistic model,sexMale,1.1971225568533463,0.971669311847207,1.4720969701545326,"1.197 (0.972, 1.472)",0.08941896066895179,0.089
Multivariable logistic model,race_ethnicityNon-Hispanic Black,0.7494746314878192,0.5358378649523189,1.048639088785297,"0.749 (0.536, 1.049)",0.09200073219489899,0.092
Multivariable logistic model,race_ethnicityNon-Hispanic White,0.850777430940536,0.6473926827454578,1.122855676131443,"0.851 (0.647, 1.123)",0.24955212228516777,0.250
Multivariable logistic model,race_ethnicityOther/Unknown,0.970209833402717,0.656452118256865,1.43052761278807,"0.97 (0.656, 1.431)",0.8789187531366466,0.879
Multivariable logistic model,smoking_statusYes,1.142814192396504,0.8932303855893182,1.456811937740319,"1.143 (0.893, 1.457)",0.28435819742729657,0.284
Multivariable logistic model,asa_severitySevere,1.504879022007448,1.131075680932497,1.9964696563635982,"1.505 (1.131, 1.996)",0.0047619816519052826,0.005
Multivariable logistic model,procedureGastric Bypass:age_years,1.0054058940094956,0.9860410726858834,1.02510078592275,"1.005 (0.986, 1.025)",0.5862073422331613,0.586
Multivariable logistic model,procedureGastric Bypass:bmi,0.9879168432171302,0.9576777548176019,1.0190226621559904,"0.988 (0.958, 1.019)",0.4425007978226235,0.443
