model,term,estimate,conf.low,conf.high,Estimate_95_CI,p.value,p_value
Count model: Poisson regression,(Intercept),0.047308801179658404,0.014345131318786106,0.1530220568147169,"0.047 (0.014, 0.153)",4.306642153115829e-7,<0.001
Count model: Poisson regression,procedureGastric Bypass,3.8607617505898983,0.9916913096445776,15.233174391831838,"3.861 (0.992, 15.233)",0.052498020312898026,0.052
Count model: Poisson regression,age_years,1.0139374957933953,1.0005041871735083,1.0275470499735735,"1.014 (1.001, 1.028)",0.04189258040749586,0.042
Count model: Poisson regression,bmi,1.0244127303070683,1.0024854136774617,1.0468406543368058,"1.024 (1.002, 1.047)",0.02886585079804208,0.029
Count model: Poisson regression,sexMale,1.1282650358533732,0.9637588274552779,1.3155285686230658,"1.128 (0.964, 1.316)",0.1281970729881704,0.128
Count model: Poisson regression,race_ethnicityNon-Hispanic Black,0.8666585218525454,0.6749273155650004,1.1150973702086442,"0.867 (0.675, 1.115)",0.2632217189823959,0.263
Count model: Poisson regression,race_ethnicityNon-Hispanic White,0.8832576826519598,0.7231910637309988,1.0885035837075387,"0.883 (0.723, 1.089)",0.23352736061159468,0.234
Count model: Poisson regression,race_ethnicityOther/Unknown,0.9296618593914594,0.691473070772678,1.2428532048437475,"0.93 (0.691, 1.243)",0.6251979522359749,0.625
Count model: Poisson regression,smoking_statusYes,1.1084740457649727,0.9208536061730818,1.324577750486604,"1.108 (0.921, 1.325)",0.2664206834427877,0.266
Count model: Poisson regression,asa_severitySevere,1.33560496747251,1.089109267317807,1.6223818415975013,"1.336 (1.089, 1.622)",0.004383768114900189,0.004
Count model: Poisson regression,procedureGastric Bypass:age_years,0.9956882754057697,0.9803552748443761,1.0112665302756716,"0.996 (0.98, 1.011)",0.5852889376603725,0.585
Count model: Poisson regression,procedureGastric Bypass:bmi,0.9853203471856633,0.9610744535538396,1.0101528803720017,"0.985 (0.961, 1.01)",0.24424936442091158,0.244
